"","id","municipality","wave","year","firsttreat","sep_rate","log_totwaste","log_residual","population","left","young","old","tertiary","tourism"
"2073",896,"VILA-SECA",4,2009,0,51.64,6.58888521120752,5.86267781995355,20866,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2074",896,"VILA-SECA",5,2011,0,54.45,6.5462113579319,5.75981931474217,21839,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2075",896,"VILA-SECA",6,2013,0,52.44,6.48064254260976,5.7375638352987,21689,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2076",896,"VILA-SECA",7,2014,0,52,6.4918761325251,5.75793603324381,21923,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2077",896,"VILA-SECA",8,2016,0,51.585,6.51227267942726,5.78697314195698,21935,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2078",896,"VILA-SECA",9,2018,0,51.68,6.50084045009268,5.77299809168603,22107,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2079",896,"VILA-SECA",10,2020,0,51.53,6.41818547448323,5.69187738177764,22555,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2080",896,"VILA-SECA",11,2022,0,55.08,6.55068025502206,5.75046306793489,22681,0.564254557655743,0.164526023195629,0.1019361640947,26.8,9274
"2081",897,"VILABELLA",4,2009,7,54.19,5.97247284092638,5.19299861946271,799,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2082",897,"VILABELLA",5,2011,7,56.055,5.88197050016855,5.05927097074366,826,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2083",897,"VILABELLA",6,2013,7,52.53,5.65553716202821,4.91044747999986,807,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2084",897,"VILABELLA",7,2014,7,52.03,5.7782094435441,5.0435857917539,805,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2085",897,"VILABELLA",8,2016,7,48.59,5.78012604124353,5.11468158134545,760,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2086",897,"VILABELLA",9,2018,7,49.63,5.80103406223338,5.11485086326023,746,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2087",897,"VILABELLA",10,2020,7,44.265,5.96467129221267,5.38013673080568,729,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2088",897,"VILABELLA",11,2022,7,41.07,5.83527846391865,5.30644007607158,711,0.546218487394958,0.118898623279099,0.23153942428035,35.4,32
"2089",898,"VILABERTRAN",4,2009,0,19,5.76577087199027,5.55345905489092,882,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2090",898,"VILABERTRAN",5,2011,0,33.3,5.98412517972122,5.5782631218655,902,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2091",898,"VILABERTRAN",6,2013,0,42.29,5.99406117295525,5.44431839897322,917,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2092",898,"VILABERTRAN",7,2014,0,38.01,5.95688604221323,5.47346884829543,913,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2093",898,"VILABERTRAN",8,2016,0,37.73,6.09347947251471,5.61975408108177,919,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2094",898,"VILABERTRAN",9,2018,0,39.255,5.95700147318293,5.45906616426982,951,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2095",898,"VILABERTRAN",10,2020,0,52.04,6.18215721815168,5.42623781441595,993,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2096",898,"VILABERTRAN",11,2022,0,54.28,6.05454497449333,5.27198394832418,991,0.455555555555556,0.140589569160998,0.201814058956916,27.1,19
"2097",903,"VILADECANS",4,2009,0,33.295,6.17014406304877,5.76516304794582,63489,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2098",903,"VILADECANS",5,2011,0,31.785,6.0737815895972,5.69119627810463,64737,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2099",903,"VILADECANS",6,2013,0,30.68,6.01498574214933,5.64851163491079,65444,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2100",903,"VILADECANS",7,2014,0,28.875,6.00595899325843,5.66522518398672,65358,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2101",903,"VILADECANS",8,2016,0,29.59,6.0503582600008,5.69925976310759,65779,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2102",903,"VILADECANS",9,2018,0,32.265,6.06155698201127,5.67119652860158,66168,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2103",903,"VILADECANS",10,2020,0,36.6,6.10133861136294,5.64565377089359,67197,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2104",903,"VILADECANS",11,2022,0,36.415,6.03927804401699,5.5864107585538,66720,0.661795855717575,0.170643733560144,0.123816724156941,30.6,429
"2105",904,"VILADECAVALLS",4,2009,0,38.525,6.30076744587105,5.814187395765,7322,0.589068322981366,0.192160611854684,0.0945096968041519,37.2,0
